pns_call_record_id,pns_call_receiver_glusr_id,pns_call_record_date,pns_call_duration,pns_call_record_started_at,pns_call_record_ended_at,pns_call_caller_glusr_id,pns_call_caller_city_id,pns_call_modrefname,pns_call_ref_prime_mcat,pns_call_ref_prime_mcat,pns_call_recording_url
644889048,152298969,56:58.0,227,14:56:58,15:00:46,100502312,90889,Shreyans SRS58B Thermal Receipt Printer,Thermal Receipt Printer,Thermal Receipt Printer,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=9UqBYgzG6RCmdfoPKNthKNIw04lhooDoktGYhAWn1XtkwfSuk9GBmI4gyoOdFsqRfqk5oSUkR3sim252upesBzAJI0TvqZtu8gcazhV7nNk8sHglrMUdhd89HQMqPPVc
646114678,42728554,31:44.0,225,11:31:44,11:35:29,10272775,70731,MOKPRO WATER PUMP 3 INCH OUTLET,Petrol Engine Water Pump,Petrol Engine Water Pump,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=lOtEQh8WWao5 4god saUtIw04lhooDoktGYhAWn1Xt1H6HCeT4hp6Hbd7sAUkyJULas9E7R4fhdAnKrpBunfuhtw1cXB0vkLLXUktdGaPo8sHglrMUdhd89HQMqPPVc
648482248,152298969,08:44.0,219,15:08:44,15:12:24,59432694,70624,Pos Machine,POS Machine,POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=1SEni jCb0HJWYI1vEfeMNIw04lhooDoktGYhAWn1Xsv4zBXb6xJ3RoostbP Rn0FOWxML1SNqKQKedLrfU0wX7rYsZ33yRqiPxby3X7na88sHglrMUdhd89HQMqPPVc
639242387,152298969,40:36.0,208,11:40:36,11:44:05,11448831,70754,,Thermal Receipt Printer,Thermal Receipt Printer,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=PHwtBLTMEFRGQonbxgMkyNIw04lhooDoktGYhAWn1Xs3W4zj/o3m0weJLoxm3LodC0/ E3Hu/J4mmCNUwFkc0rwR7fuCvi94ghpA5XwupGk8sHglrMUdhd89HQMqPPVc
644031073,24108739,32:46.0,207,11:32:46,11:36:14,120268108,70630,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=makFod6mQpBgToW3lplkxtIw04lhooDoktGYhAWn1XvWQj3e/JIGAWloGcXcVWME/ut0bg rGFzN4 wGNN0DWnl0nnmwB6uroiCUIkhtBMY8sHglrMUdhd89HQMqPPVc
640212121,42728554,26:49.0,195,15:26:49,15:30:05,134160851,70633,Cordless Drill Machine,Cordless Drill,Cordless Drill,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=vPm2bdQZjOp0YZNiVRgjmYabIalEuqtJ4CQrnrdx60Io97TIeWfl2M/eoDFk/cjXZybe2m4bpso57uIds4wgMGFOB7NbtKHERSIZRHANXoNsgRp 3CtKDba6WJAFAseS
640874556,24108739,47:45.0,193,14:47:45,14:50:58,255882574,70630,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XnYiM7iMiu6zrl6 BZQhk4abIalEuqtJ4CQrnrdx60Jz2VQKWGB3YmX5/mUbNA1RW t92Dc565C6lBKXOwmRUXFlfG1ALJUoCzuet5NoapBsgRp 3CtKDba6WJAFAseS
645914156,24108739,10:57.0,193,11:10:57,11:14:11,93500968,70630,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=2xqfLiZx3iRLDdSzWzow7dIw04lhooDoktGYhAWn1Xv8uwifu3 SXMe5jio6qCoOrbS9VtzlgBI3YcR4aMhF21qGKFe6q0RpCLjpSMmF89w8sHglrMUdhd89HQMqPPVc
646261587,24108739,55:14.0,188,11:55:14,11:58:23,55706061,70469,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=iIQy8ACprD44GX 8iZxwpIabIalEuqtJ4CQrnrdx60J/VTH0ABARSjzW6JypXGabN1ugE/ylOp5IdDYT87mfd3rReS9JYlCyi4PkLzm EEFsgRp 3CtKDba6WJAFAseS
640043857,42728554,57:26.0,187,15:57:26,16:00:34,30937636,70469,"MOKPRO Miter saw machine 10inch, 14 inch, 1800w",Miter Saw,Miter Saw,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=iU kMXGVkrBg/184HAJy/oabIalEuqtJ4CQrnrdx60Kibj1bztHkqVgYNEDVoHB0n/YYv4btiQqwA4PYTrsEjjxz2gfQ55Z17sjUwSjwoG5sgRp 3CtKDba6WJAFAseS
640448844,152298969,25:21.0,186,17:25:21,17:28:28,112230231,77402,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=iVp15cP/HiegavrJlG 0k4abIalEuqtJ4CQrnrdx60L pkGtEGqgGhdejXHQJxzqkodufivDuGwLjJ8wrkaHLmIQnXShxW7ta43FNBe3ujRsgRp 3CtKDba6WJAFAseS
640764464,72509641,59:23.0,180,09:59:23,10:02:23,133856124,70626,Automatic Popcorn Machine,Industrial Popcorn Machine,Industrial Popcorn Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XnYiM7iMiu6zrl6 BZQhk4abIalEuqtJ4CQrnrdx60JyQ2F2NTepuxYxJThfRnYArXG9ckZ M3DYDS4QKvtil0BuOnmMTOY/PU1lmCXnUVNsgRp 3CtKDba6WJAFAseS
640999397,152298969,49:57.0,178,09:49:57,09:52:56,28409348,90886,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=HcD0nkvNMmf2ehzgISCH64abIalEuqtJ4CQrnrdx60IbLR3I6YCttCj/zSJbPx/w2zzDrPpxJmqXtEhS/ro8LVVzxRdhZ/4Lfwo 7QW7ZsNsgRp 3CtKDba6WJAFAseS
646016358,5057661,06:24.0,178,16:06:24,16:09:23,218660627,73808,Emery Belt,Emery Belt,Emery Belt,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=2xqfLiZx3iRLDdSzWzow7dIw04lhooDoktGYhAWn1XuTH8Yu855xEHqxJZJM484pehSZwS5fvhixHAkd9a3xMpJvgtlbg UzkEH29OG8SsQ8sHglrMUdhd89HQMqPPVc
648142096,24108739,22:15.0,173,10:22:15,10:25:09,153578193,70610,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=wgYpjiPFX1U2TfGeHCmtPtIw04lhooDoktGYhAWn1XvpEFtUaLKxUFXhFE0DgoPQC3iHkORCkCA9cXnKZxJS ctq0j1HhpuWZVG7iwsiqiQ8sHglrMUdhd89HQMqPPVc
645886659,72509641,04:31.0,172,09:04:31,09:07:24,76537258,70626,,Sugarcane Juice Machine,Sugarcane Juice Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=2xqfLiZx3iRLDdSzWzow7dIw04lhooDoktGYhAWn1XtDNGGwNwsOYjQLVJNqMuFaI SNSqYOGZqLQHilmdAj4zNcIcitpbx1txRHq7I5cRE8sHglrMUdhd89HQMqPPVc
638653977,152298969,35:06.0,171,15:35:06,15:37:58,255311872,70750,"Shreyans CA428 4inch Label Printer with USB + Bluetooth, Max. Print Width: 4 inches, Resolution: 203",Barcode Printers,Barcode Printers,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=CY4XPoQCAVN7WieOcKhYddIw04lhooDoktGYhAWn1Xt72NQ3kYyDy6J2uKgjorm5LQ790Gf5f8UpCUX 89T2XPabqD9 LWSq1hV5SE 443w8sHglrMUdhd89HQMqPPVc
642247108,24108739,28:47.0,170,19:28:47,19:31:38,126801704,70746,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=IynejgXfg5Gub4dUTx1jZNIw04lhooDoktGYhAWn1XsPIR2XQegms/doGC4haJF5MFWQg8oFx Q/UXP//fjDga3OInwO425Jw3L6oSGhCU8sHglrMUdhd89HQMqPPVc
639267471,72509641,38:25.0,168,12:38:25,12:41:13,77543878,70610,,Sugarcane Juice Machine,Sugarcane Juice Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=PHwtBLTMEFRGQonbxgMkyNIw04lhooDoktGYhAWn1XvZk7xmt8 fa1K95/zOT0aTiyUaQriuN40MXxxdEO8WOm9NiLIM/8fxsPJIDLNeeTw8sHglrMUdhd89HQMqPPVc
640222751,152298969,23:06.0,165,16:23:06,16:25:52,103658699,70740,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=vPm2bdQZjOp0YZNiVRgjmYabIalEuqtJ4CQrnrdx60J1kYMVHKJfJZhCPML1N5xPDegDtlWsiyuUFe09FVT9z6GxAC715r7Q2T2VoUutu7lsgRp 3CtKDba6WJAFAseS
638826264,42728554,17:54.0,165,14:17:54,14:20:41,77218948,70731,"Fruity Wet Wipes Tissue, Pouch, 15*15 cm",Wet Tissue,Wet Tissue,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=79b0Nrl gx1QxXppNZggz9Iw04lhooDoktGYhAWn1XurnyFNB0I 9sEQG23Dk9OAQpdhANOZMe 6zF lhzGWYVoWE7sQSz1LXdY1lu9HiQU8sHglrMUdhd89HQMqPPVc
639636525,5057661,44:26.0,164,18:44:26,18:47:11,219415013,73838,Copper Prima Mig Welding Wire,MIG Welding Wire,MIG Welding Wire,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=JOIH3u4EFer1AonxbOm6btIw04lhooDoktGYhAWn1XuQMkFbjYfiqK2AzQ85Xp6aThLfnxb3dEZUECg6Qp9vD2wWtPQ8J6yoTp7SVnQV4Rk8sHglrMUdhd89HQMqPPVc
639096950,5057661,36:55.0,163,15:36:55,15:39:39,102154383,73577,,Flap Wheels,Flap Wheels,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XxJmX9Wv6zdGE2o3NyzjfdIw04lhooDoktGYhAWn1XsFJmLYY4ukY3Mv3v/G6qDaWveYEMRPD1fusrgmr5M6mv EnVqdAHOe4VnrqM1lz188sHglrMUdhd89HQMqPPVc
646495107,42728554,20:09.0,156,12:20:09,12:22:46,257249598,70752,Gas Geyser Circuite/Ignitor / Lighter,Gas Geyser Spare Parts,Gas Geyser Spare Parts,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=3DgZ5NKzuntdmixIQo0ngYabIalEuqtJ4CQrnrdx60KlMWSagQmJytyWTTsPhoPyIUzOtEe8ameJxCw rW3z6gKCzDYDCnPsGW6eLTxMhi9sgRp 3CtKDba6WJAFAseS
640822909,5057661,34:04.0,155,12:34:04,12:36:41,1966587,70610,,Non Woven Abrasives,Non Woven Abrasives,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XnYiM7iMiu6zrl6 BZQhk4abIalEuqtJ4CQrnrdx60JWU96zbNERoR 9gRna54SH3hQOb3aBvgofnWzXrTkg8zR5muJ18Aw4FQD 7G5M8lZsgRp 3CtKDba6WJAFAseS
644082513,72509641,42:55.0,154,13:42:55,13:45:30,29436751,73828,"Pulverizer Machine, 50 kg/hr",Pulverizers,Pulverizers,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=makFod6mQpBgToW3lplkxtIw04lhooDoktGYhAWn1Xuf b2/4spA1oboV3Hjw0WO1eBXrM39w6aGD295a0VCxenxnaYt7mU8W4whnrnzebQ8sHglrMUdhd89HQMqPPVc
641972129,152298969,53:29.0,154,16:53:29,16:56:03,194984753,78988,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=byONy9xc8XfRD60CGbNkU9Iw04lhooDoktGYhAWn1Xs1HPyb5ofDT24CzRR8whlyTmtV9oTpDReOS3yd989ElAIF3VFPKyYu3rWZCfVpVBE8sHglrMUdhd89HQMqPPVc
645191735,24108739,22:39.0,153,19:22:39,19:25:13,251868675,70772,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=bBQVO7WZjglGkvq41raz89Iw04lhooDoktGYhAWn1XtwNuMz/UwVADvVwev/iL98wv/f1aIkGuPCVbFTifQmJvyBXn19ezkQackhg7AYArY8sHglrMUdhd89HQMqPPVc
641094291,42728554,15:49.0,152,14:15:49,14:18:22,228461954,69514,30 Ltr Air Compressor,Air Compressor,Air Compressor,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=HcD0nkvNMmf2ehzgISCH64abIalEuqtJ4CQrnrdx60KQH5mpx0osAXRYoFsvB b1XiEq6xBOFEQz1ouU8d1n4SsyHazChfh4vLroseYxxnxsgRp 3CtKDba6WJAFAseS
638911462,72509641,19:50.0,152,18:19:50,18:22:23,71234229,83712,,Sugarcane Juice Machine,Sugarcane Juice Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=79b0Nrl gx1QxXppNZggz9Iw04lhooDoktGYhAWn1XvxIFPDXDEx7hUiPNtdpGUvXawVcVT7kJ8IuS35qEqmapLwSN16HX5m7cdBL4G /Xo8sHglrMUdhd89HQMqPPVc
640931593,152298969,26:26.0,152,17:26:26,17:28:59,87782922,70435,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XnYiM7iMiu6zrl6 BZQhk4abIalEuqtJ4CQrnrdx60ID0fwRTbtPevdVoumD/cYBrIkkP6Rcr3DYVEG oNXmPobWFoJLW602ffnTV63UVphsgRp 3CtKDba6WJAFAseS
640896094,42728554,44:50.0,150,15:44:50,15:47:22,234429531,70469,,Rotary Hammer Drill,Rotary Hammer Drill,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XnYiM7iMiu6zrl6 BZQhk4abIalEuqtJ4CQrnrdx60IDn P3xwRGPpapQw8RDQtYe7J 4R7Gfxj/lbtJ69G5 2DUDLtwtOQOAj9IevVr4JFsgRp 3CtKDba6WJAFAseS
644020832,72509641,06:18.0,150,11:06:18,11:08:49,139524287,79115,,Sugarcane Juice Machine,Sugarcane Juice Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=makFod6mQpBgToW3lplkxtIw04lhooDoktGYhAWn1XsvrGhQH/ ruc/yk4PXTI68jWi8wIdynQYoBl3BkIv0ASswp26wgelXwmeEb QdcFs8sHglrMUdhd89HQMqPPVc
642114542,152298969,48:33.0,148,12:48:33,12:51:02,101613460,70487,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=IynejgXfg5Gub4dUTx1jZNIw04lhooDoktGYhAWn1Xv71Hk 08LCfp7RNGz6yto0sySGi8B4H1Dfi4/PUzAU7TJ7MWJyhi1dZ7cXVkyZwt88sHglrMUdhd89HQMqPPVc
645170497,5057661,50:56.0,148,17:50:56,17:53:25,27192160,73765,"14 inch magic Cutting Wheels, Advance",Cutting Wheels,Cutting Wheels,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=bBQVO7WZjglGkvq41raz89Iw04lhooDoktGYhAWn1Xsa0b1LVjKFqEOQ rC5dmq9gNHmvQZw26BtDlEt21F0LGKsoqlMAmWFrh2EojFVplM8sHglrMUdhd89HQMqPPVc
641487115,42728554,41:20.0,147,11:41:20,11:43:48,256061570,70532,43 MOKPRO HAMMER DRILL MACHINE 0818,Hammer Drill,Hammer Drill,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=jDNElsb9CiRJX/BcigFCNoabIalEuqtJ4CQrnrdx60K6xWYP 8H8HofM8n 2XsXVmUFtUkjjn7gX5Q3EZcIAGlUKd5Ak1i2Y26sDTTfXs45sgRp 3CtKDba6WJAFAseS
647537880,42728554,31:14.0,146,10:31:14,10:33:40,194251661,69514,,Electric Drill,Electric Drill,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=BZVMEtFAdBouCOhAy/bm84abIalEuqtJ4CQrnrdx60KICPI2zxKLrMfpS3Nn/9or1SqQIpXSBfyAv857Xr1zNS2BeLOxKKp9IuEJt 4isepsgRp 3CtKDba6WJAFAseS
639001620,24108739,39:48.0,143,11:39:48,11:42:12,115263902,70630,,Label Tape,Label Tape,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XxJmX9Wv6zdGE2o3NyzjfdIw04lhooDoktGYhAWn1XudPDGhxlOcY86sWEVJymul0v/D0zpLWN0rtLKBqPr3M2GAJmhSfYhe2xYOgt2Ll3U8sHglrMUdhd89HQMqPPVc
639498103,72509641,18:52.0,142,12:18:52,12:21:15,50319676,70626,,Sugarcane Juice Machine,Sugarcane Juice Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=JOIH3u4EFer1AonxbOm6btIw04lhooDoktGYhAWn1XuN/BBySsopX7E7pNvS5WkFoY7slAawWOlSrSPBWatb4tbgMkkjVyvb9CJhWXwOIy48sHglrMUdhd89HQMqPPVc
639058009,152298969,55:34.0,142,13:55:34,13:57:57,218556470,77849,,Android POS Machine,Android POS Machine,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=XxJmX9Wv6zdGE2o3NyzjfdIw04lhooDoktGYhAWn1XvuOKdJcUZkCixmK862KMAOAGqS2FuU nkki2B7cLqnGLiWmVvYzSeO8YUd9kRvaBU8sHglrMUdhd89HQMqPPVc
642550148,24108739,41:09.0,140,11:41:09,11:43:29,124860749,70630,PVC Ferrule Printing Sleeve,Ferrule Printing Sleeve,Ferrule Printing Sleeve,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=0Oteys8wl5upA7YX3 3vfNIw04lhooDoktGYhAWn1Xsy77I3zYx6VmFxSMpKr2aDJYc72UxxVWRuMF8kG1nLOzrUjqWWbjyqQk7 zj4Rrk48sHglrMUdhd89HQMqPPVc
644366835,152298969,37:34.0,139,16:37:34,16:39:54,254740195,70435,,Thermal Receipt Printer,Thermal Receipt Printer,https://openapi.airtel.in/gateway/airtel-xchange/callv2/recording?token=qhWxsayT0THlrs fReXIC9Iw04lhooDoktGYhAWn1XuZyiuMTLEggfbCb20ALpJ WN7U3y3uNrY7uwY4lbNu SAAa2IH4LI2PUMGMeoLxZ1sgRp 3CtKDba6WJAFAseS
